name,description,sharpe,annual_return,max_drawdown,win_rate,num_trades,profit_factor,correlation,config
alpha001,Volatility regime rank,0.45657055373290145,0.18837904106291403,-0.4790305354814765,0.4953331187640811,3107,1.2061166211607586,0.2591696279245481,top10_hold5
alpha002,Volume-price correlation,0.5524009600700938,0.19228240429896548,-0.37391986993659304,0.5347241284655504,3643,1.2029594217553574,0.6096484334050404,top10_hold5
alpha006,Open-volume correlation,0.4851642449484846,0.2905109761002014,-0.5268378516882056,0.5053285968028419,3378,1.4221024527460788,0.2295572385362418,top10_hold5
alpha012,Volume-price divergence,0.3433619825507803,0.11680469002385352,-0.5358327374212067,0.5527411519777932,2882,1.1551735082442194,0.6012591485616482,top10_hold5
alpha033,Gap rank (mean reversion),1.14075827426591,1.2905864174390733,-0.46858929255561893,0.4826139088729017,3336,1.5981526997107798,0.18155579803677807,top10_hold5
alpha041,Price range vs VWAP,0.5532280403487345,0.21005143024130324,-0.4875133646217586,0.544336569579288,3090,1.245759955334208,0.5578976838030368,top10_hold5
alpha042,VWAP-close ratio,1.475947089871525,5.88457724013271,-0.5303985812605267,0.5746987951807229,830,5.509152938396804,0.1313021523077639,top10_hold5
alpha053,Williams %R momentum,0.7858307830981,0.36248047653037463,-0.46393960645180277,0.5005390835579515,3710,1.3043397410090438,0.24371472522000978,top10_hold5
alpha054,Price ratio alpha,0.9095244146019259,0.4269807236593375,-0.3706496618325097,0.5212824765063571,3618,1.3868173105769095,0.15928772732389015,top10_hold5
alpha101,Intraday momentum,0.6470333917977023,0.5032293212079737,-0.6334389944005766,0.5187768240343348,3728,1.5241250031413538,0.032738378805412104,top10_hold5
alpha001,Volatility regime rank,0.9431690121857159,0.6239630617265552,-0.34169749907927904,0.5053262316910786,3004,1.801975679168285,0.2312044671526697,top20_hold10
alpha002,Volume-price correlation,0.7020177961367725,0.25675621416604666,-0.42904141314846667,0.5221902017291066,3470,1.3476537933367907,0.5649542125970268,top20_hold10
alpha006,Open-volume correlation,0.7161411597979781,0.3492939728990785,-0.4988530984085428,0.5263933942789738,3391,1.4512360497719576,0.3932540934265902,top20_hold10
alpha012,Volume-price divergence,0.3869406523857353,0.12687875671683524,-0.41057776711333255,0.5481111903064861,2806,1.2127719056064343,0.7138810204463822,top20_hold10
alpha033,Gap rank (mean reversion),1.0532137255963574,0.7340087374752364,-0.48459435833665093,0.5006393861892583,3128,1.6695650295666284,0.30285603883837214,top20_hold10
alpha041,Price range vs VWAP,0.46239085341326713,0.16703619803134062,-0.4093971396956506,0.5266079007508978,3063,1.3029377558856403,0.4881321145741476,top20_hold10
alpha042,VWAP-close ratio,1.7518105917059719,3.7207206126043104,-0.5502852327843436,0.5584137191854234,933,5.0936798584539655,0.20810541145550704,top20_hold10
alpha053,Williams %R momentum,0.6989505710253907,0.27562297312427453,-0.48435352059052106,0.5067587000287604,3477,1.3550920130762423,0.3511777297891043,top20_hold10
alpha054,Price ratio alpha,0.8898719416284683,0.3738731923635623,-0.3397984192154369,0.5134199134199134,3465,1.48640512266855,0.22983818813861853,top20_hold10
alpha101,Intraday momentum,0.7587117050317688,0.4272359300594337,-0.2898230259520106,0.48903635314483557,3466,1.6165585464705956,0.1632980396184352,top20_hold10
